setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
anomaly_detection_mse_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-00-34,0.9784258,0.014245014245014245,0.008064516,0.010298661,0.9922324,0.6418219,1.0,0.7818411
anomaly_detection_mse_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-02-08,0.98493624,0.002680965147453083,0.0033333334,0.0029717681,0.99164873,0.44642857,1.0,0.61728394
anomaly_detection_mse_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-03-40,0.98787713,0.027559055118110236,0.023333333,0.025270758,0.9944549,0.54844606,1.0,0.70838255
anomaly_detection_mse_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-05-15,0.96803975,0.013888888888888888,0.005,0.007352941,0.9915956,0.73800737,1.0,0.8492569
anomaly_detection_mse_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-05-52,0.8565104,0.0018115942028985507,1.0,0.0036166366,0.8565104,0.0018115942,1.0,0.0036166366
anomaly_detection_mse_UCRA_006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-06-29,0.9244792,0.0037313432835820895,0.041666668,0.006849315,0.93046874,0.082474224,1.0,0.15238096
anomaly_detection_mse_UCRA_007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-07-07,0.7190104,0.004694835680751174,0.20833333,0.009182736,0.7239583,0.022140222,1.0,0.0433213
anomaly_detection_mse_UCRA_008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-07-45,0.9838542,0.0625,0.020833334,0.03125,0.99609375,0.7619048,1.0,0.8648649
anomaly_detection_mse_UCRA_009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-08-23,0.90520835,0.0031446540880503146,0.020833334,0.0054644807,0.9174479,0.13150685,1.0,0.23244552
anomaly_detection_mse_UCRA_010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-09-00,0.9760417,0.021739130434782608,0.020833334,0.021276595,0.98828125,0.516129,1.0,0.68085104
anomaly_detection_mse_UCRA_011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-09-38,0.9850761,1.0,0.006666667,0.013245033,1.0,1.0,1.0,1.0
anomaly_detection_mse_UCRA_012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-10-28,0.9906798,0.02631578947368421,0.01,0.014492754,0.99746436,0.729927,1.0,0.84388185
anomaly_detection_mse_UCRA_013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-11-24,0.975466,0.0038461538461538464,0.01,0.0055555557,0.9822506,0.27855152,1.0,0.43572986
anomaly_detection_mse_UCRA_014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-12-23,0.9942336,0.038461538461538464,0.01,0.015873017,0.9988374,0.8,1.0,0.8888889
